gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
SOX3	Xq27.1	1.96	1.83	2.6	2.41	0.13	0.652	0.826	CLDN4 High
MRNIP	5q35.3	7.02	7.06	0.69	0.64	-0.03	0.652	0.826	CLDN4 Low
SDHAF2	11q12.2	9.91	9.89	0.47	0.47	0.02	0.652	0.826	CLDN4 High
DPH2	1p34.1	9.84	9.87	0.54	0.58	-0.03	0.652	0.826	CLDN4 Low
DPF2	11q13.1	10.79	10.81	0.39	0.43	-0.02	0.652	0.826	CLDN4 Low
NEBL	10p12.31	0.03	0.04	0.14	0.18	-0.01	0.652	0.826	CLDN4 Low
ZBTB41	1q31.3	8.86	8.88	0.54	0.55	-0.03	0.652	0.826	CLDN4 Low
ACYP1	14q24.3	6.71	6.75	0.74	0.79	-0.04	0.653	0.826	CLDN4 Low
STK35	20p13	10.68	10.71	0.64	0.62	-0.03	0.653	0.826	CLDN4 Low
MACROH2A2	10q22.1	9.76	9.82	1.01	1.07	-0.05	0.653	0.826	CLDN4 Low
CZIB	1p32.3	9.47	9.45	0.5	0.45	0.02	0.653	0.826	CLDN4 High
SKP1	5q31.1	11.91	11.89	0.53	0.49	0.03	0.653	0.826	CLDN4 High
GPR85	7q31.1	3.76	3.81	0.92	0.97	-0.05	0.653	0.826	CLDN4 Low
TPRXL	3p25.1	5.04	4.95	1.69	1.64	0.09	0.653	0.826	CLDN4 High
YES1	18p11.32	10.19	10.22	0.66	0.56	-0.03	0.653	0.826	CLDN4 Low
ZFHX3	16q22.2-q22.3	10.56	10.6	0.74	0.8	-0.04	0.653	0.826	CLDN4 Low
NBEAP1	15q11.2	1.76	1.83	1.49	1.48	-0.08	0.653	0.827	CLDN4 Low
SLC16A8	22q13.1	4.33	4.26	1.41	1.41	0.07	0.654	0.827	CLDN4 High
ADAL	15q15.3	7.07	7.1	0.64	0.69	-0.03	0.654	0.827	CLDN4 Low
CDH9	5p14.1	0.04	0.05	0.18	0.17	-0.01	0.654	0.827	CLDN4 Low
TOR1AIP1	1q25.2	10.5	10.52	0.48	0.5	-0.03	0.654	0.827	CLDN4 Low
PDCD1	2q37.3	4.6	4.52	1.56	1.64	0.08	0.654	0.827	CLDN4 High
KIR3DL3	19q13.42	0.09	0.07	0.28	0.32	0.02	0.654	0.827	CLDN4 High
FEZF2	3p14.2	0.12	0.09	0.69	0.43	0.03	0.654	0.827	CLDN4 High
LEXM	1p32.3	2.35	2.42	1.25	1.31	-0.07	0.654	0.827	CLDN4 Low
OR6C3	12q13.2	0	0.01	0.04	0.07	0	0.654	0.827	CLDN4 Low
FZD9	7q11.23	4.18	4.12	1.4	1.17	0.07	0.654	0.827	CLDN4 High
ADCY9	16p13.3	8.75	8.7	0.83	0.94	0.05	0.654	0.827	CLDN4 High
CCDC91	12p11.22	8.72	8.76	0.64	0.63	-0.03	0.654	0.827	CLDN4 Low
RETNLB	3q13.13	0.22	0.19	0.68	0.57	0.03	0.655	0.827	CLDN4 High
EPYC	12q21.33	4.79	4.96	3.38	3.45	-0.17	0.655	0.827	CLDN4 Low
SOX8	16p13.3	2.07	2.13	1.21	1.12	-0.06	0.655	0.828	CLDN4 Low
COLGALT2	1q25.3	4.87	4.95	1.37	1.49	-0.07	0.655	0.828	CLDN4 Low
ZNF669	1q44	6.94	6.96	0.58	0.54	-0.03	0.655	0.828	CLDN4 Low
CDC42	1p36.12	12.3	12.27	0.48	0.49	0.02	0.655	0.828	CLDN4 High
SMPD4	2q21.1	11.38	11.4	0.5	0.51	-0.03	0.655	0.828	CLDN4 Low
NLRP13	19q13.43	0.04	0.03	0.15	0.15	0.01	0.655	0.828	CLDN4 High
OTC	Xp11.4	1.16	1.24	1.63	1.49	-0.08	0.655	0.828	CLDN4 Low
AFP	4q13.3	0.35	0.4	0.73	1.01	-0.04	0.655	0.828	CLDN4 Low
TET2	4q24	8.62	8.59	0.59	0.62	0.03	0.655	0.828	CLDN4 High
ZNF534	19q13.41	1.2	1.24	0.92	0.94	-0.05	0.655	0.828	CLDN4 Low
VAPB	20q13.32	10.18	10.21	0.42	0.47	-0.02	0.655	0.828	CLDN4 Low
APOO	Xp22.11	8.21	8.17	0.67	0.71	0.04	0.655	0.828	CLDN4 High
ARHGAP15	2q22.2-q22.3	5.31	5.38	1.43	1.48	-0.07	0.656	0.828	CLDN4 Low
DBX2	12q12	1.41	1.49	1.54	1.39	-0.07	0.656	0.828	CLDN4 Low
MCRIP1	17q25.3	10.74	10.78	0.71	0.65	-0.03	0.656	0.828	CLDN4 Low
ATN1	12p13.31	13.43	13.39	0.77	0.63	0.04	0.656	0.828	CLDN4 High
RALGAPB	20q11.23	11.02	11.04	0.52	0.51	-0.03	0.656	0.828	CLDN4 Low
PSMD5	9q33.2	10.11	10.14	0.58	0.73	-0.03	0.656	0.828	CLDN4 Low
ADGB	6q24.3	1.08	1.01	1.53	1.43	0.08	0.656	0.828	CLDN4 High
PCSK4	19p13.3	6.34	6.27	1.27	1.24	0.06	0.656	0.828	CLDN4 High
SNX22	15q22.31	7.46	7.43	0.68	0.64	0.03	0.656	0.828	CLDN4 High
LCE3E	1q21.3	0.17	0.15	0.45	0.5	0.02	0.656	0.828	CLDN4 High
PGAP4	9q31.1	7.69	7.77	1.69	1.58	-0.08	0.656	0.828	CLDN4 Low
LINC01312	6q23.2	0.1	0.08	0.25	0.29	0.01	0.656	0.828	CLDN4 High
DGKQ	4p16.3	8.35	8.32	0.76	0.75	0.04	0.656	0.828	CLDN4 High
SLC38A8	16q23.3	1.25	1.34	1.89	2.01	-0.1	0.657	0.828	CLDN4 Low
LINC00261	20p11.21	1.99	1.88	2.18	2.22	0.11	0.657	0.828	CLDN4 High
PAM	5q21.1	11.38	11.33	1.02	1.13	0.05	0.657	0.828	CLDN4 High
ERI3	1p34.1	11.13	11.16	0.48	0.53	-0.03	0.657	0.828	CLDN4 Low
IL1B	2q14.1	7	6.93	1.48	1.52	0.08	0.657	0.828	CLDN4 High
ZNF599	19q13.11	7.5	7.53	0.65	0.64	-0.03	0.657	0.828	CLDN4 Low
FAM153B	5q35.2	2.73	2.64	1.65	1.77	0.09	0.657	0.828	CLDN4 High
SPDYE3	7q22.1	5.89	5.84	0.79	0.81	0.04	0.657	0.828	CLDN4 High
ZBTB20	3q13.31	6.13	6.18	0.76	1.07	-0.05	0.657	0.828	CLDN4 Low
KCTD11	17p13.1	8.8	8.83	0.49	0.64	-0.03	0.657	0.829	CLDN4 Low
VNN1	6q23.2	5.73	5.64	1.91	1.73	0.09	0.657	0.829	CLDN4 High
MAGEA12	Xq28	0.6	0.68	1.62	1.54	-0.08	0.657	0.829	CLDN4 Low
BCORL1	Xq26.1	9.37	9.41	0.76	0.78	-0.04	0.657	0.829	CLDN4 Low
SNX31	8q22.3	2.81	2.91	1.98	2.19	-0.11	0.657	0.829	CLDN4 Low
ACTG1P4	1p21.1	3.12	3.04	1.54	1.6	0.08	0.657	0.829	CLDN4 High
CFHR1	1q31.3	0.84	0.77	1.23	1.28	0.06	0.658	0.829	CLDN4 High
MFAP3L	4q33	6.45	6.51	1.33	1.21	-0.06	0.658	0.829	CLDN4 Low
GALNT4	12q21.33	9.17	9.23	1.17	1.13	-0.06	0.658	0.829	CLDN4 Low
ACSS3	12q21.31	7.39	7.47	1.6	1.53	-0.08	0.658	0.829	CLDN4 Low
CHRNB3	8p11.21	0.14	0.16	0.51	0.46	-0.02	0.658	0.829	CLDN4 Low
CRBN	3p26.2	9.37	9.34	0.52	0.54	0.03	0.658	0.829	CLDN4 High
CNOT4	7q33	9.49	9.51	0.43	0.42	-0.02	0.658	0.829	CLDN4 Low
DARS2	1q25.1	9.83	9.86	0.6	0.63	-0.03	0.658	0.829	CLDN4 Low
C16ORF86	16q22.1	4.82	4.78	0.86	0.72	0.04	0.658	0.829	CLDN4 High
VPS26C	21q22.13	9.66	9.68	0.45	0.53	-0.02	0.659	0.829	CLDN4 Low
SCGB1C1	11p15.5	1.7	1.6	2	1.88	0.1	0.659	0.829	CLDN4 High
ARSL	Xp22.33	3.51	3.61	1.86	2.08	-0.1	0.659	0.829	CLDN4 Low
MXD1	2p13.3	8.88	8.92	0.66	0.66	-0.03	0.659	0.829	CLDN4 Low
MAD2L1	4q27	8.84	8.8	0.9	0.86	0.04	0.659	0.829	CLDN4 High
KIAA0930	22q13.31	9.99	10.03	0.62	0.68	-0.03	0.659	0.829	CLDN4 Low
DCUN1D5	11q22.3	9.01	9.04	0.58	0.62	-0.03	0.659	0.83	CLDN4 Low
PIGU	20q11.22	9.97	9.94	0.53	0.51	0.03	0.659	0.83	CLDN4 High
EPDR1	7p14.1	8.25	8.3	1.09	1.1	-0.06	0.659	0.83	CLDN4 Low
C1QL2	2q14.2	1.73	1.64	1.7	1.56	0.08	0.659	0.83	CLDN4 High
FGFRL1	4p16.3	11.95	11.89	1.18	1.12	0.06	0.659	0.83	CLDN4 High
AGPAT4	6q26	7.64	7.7	0.98	1.12	-0.05	0.659	0.83	CLDN4 Low
NMUR2	5q33.1	1.3	1.36	1.04	1.24	-0.06	0.659	0.83	CLDN4 Low
ARSH	Xp22.33	1.95	1.88	1.38	1.36	0.07	0.659	0.83	CLDN4 High
SAMD5	6q24.3	5	4.94	1.3	1.4	0.07	0.659	0.83	CLDN4 High
F2RL1	5q13.3	8.85	8.9	0.88	0.96	-0.05	0.659	0.83	CLDN4 Low
GPM6B	Xp22.2	8.82	8.87	1.01	1.27	-0.06	0.659	0.83	CLDN4 Low
NAP1L5	4q22.1	5.99	5.94	1.13	1.14	0.06	0.66	0.83	CLDN4 High
PRSS12	4q26	6.18	6.07	1.96	2.24	0.11	0.66	0.83	CLDN4 High
SNORD115-7	15q11.2	0	0	0.03	0.05	0	0.66	0.83	CLDN4 Low
OR2W3	1q44	4.01	4.09	1.59	1.58	-0.08	0.66	0.831	CLDN4 Low
SLC45A4	8q24.3	10.24	10.28	0.8	0.82	-0.04	0.66	0.831	CLDN4 Low
RNF186	1p36.13	0.51	0.45	1.16	1.13	0.06	0.66	0.831	CLDN4 High
PSG2	19q13.31	0.01	0.02	0.09	0.12	-0.01	0.66	0.831	CLDN4 Low
SCARNA18	5q14.2	0.04	0.04	0.23	0.14	0.01	0.66	0.831	CLDN4 High
CYP2D7	22q13.2	3.21	3.27	1.24	1.29	-0.06	0.66	0.831	CLDN4 Low
LPGAT1	1q32.3	9.69	9.72	0.62	0.64	-0.03	0.661	0.831	CLDN4 Low
NCDN	1p34.3	10.04	10.07	0.68	0.59	-0.03	0.661	0.831	CLDN4 Low
SNORA19	10q26.11	0.02	0.03	0.1	0.11	-0.01	0.661	0.831	CLDN4 Low
METTL21EP	13q33.1	0.96	0.92	0.86	0.74	0.04	0.661	0.831	CLDN4 High
SERPINB2	18q21.33-q22.1	5.05	4.91	2.65	2.78	0.14	0.661	0.831	CLDN4 High
FDX1	11q22.3	8.74	8.77	0.61	0.61	-0.03	0.661	0.831	CLDN4 Low
THEM5	1q21.3	1.48	1.53	1.04	1.09	-0.05	0.661	0.831	CLDN4 Low
ERC2-IT1	3p14.3	0.5	0.53	0.61	0.62	-0.03	0.661	0.831	CLDN4 Low
IL18RAP	2q12.1	2.44	2.51	1.32	1.38	-0.07	0.661	0.831	CLDN4 Low
PLCD3	17q21.31	11.13	11.07	1.19	1.12	0.06	0.661	0.831	CLDN4 High
RNF8	6p21.2	8.75	8.78	0.5	0.5	-0.02	0.662	0.831	CLDN4 Low
MARCHF4	2q35	2.17	2.23	1.27	1.33	-0.06	0.662	0.831	CLDN4 Low
GPR17	2q14.3	3.37	3.46	1.79	1.59	-0.08	0.662	0.831	CLDN4 Low
ALG6	1p31.3	8.59	8.56	0.51	0.59	0.03	0.662	0.832	CLDN4 High
CDYL	6p25.1	9.62	9.64	0.58	0.47	-0.03	0.662	0.832	CLDN4 Low
PPIF	10q22.3	11.2	11.16	0.75	0.73	0.04	0.662	0.832	CLDN4 High
KCTD3	1q41	9.9	9.93	0.54	0.51	-0.03	0.662	0.832	CLDN4 Low
TATDN1	8q24.13	8.69	8.73	0.73	0.86	-0.04	0.662	0.832	CLDN4 Low
FRZB	2q32.1	7.88	7.96	1.58	1.63	-0.08	0.662	0.832	CLDN4 Low
LYZL2	10p11.23	0.25	0.22	0.64	0.6	0.03	0.662	0.832	CLDN4 High
RFPL2	22q12.3	1.88	1.82	1.32	1.12	0.06	0.662	0.832	CLDN4 High
ACTL6B	7q22.1	0.27	0.33	1.1	1.1	-0.05	0.662	0.832	CLDN4 Low
MUS81	11q13	9.62	9.6	0.39	0.42	0.02	0.663	0.832	CLDN4 High
PRF1	10q22.1	5.85	5.93	1.61	1.54	-0.08	0.663	0.832	CLDN4 Low
PREX2	8q13.2	6.03	6.13	2.03	1.9	-0.1	0.663	0.832	CLDN4 Low
DPH5	1p21.2	9.05	9.08	0.62	0.56	-0.03	0.663	0.832	CLDN4 Low
STON2	14q31.1	9.54	9.6	1	1.19	-0.05	0.663	0.832	CLDN4 Low
SOCS1	16p13.13	7.53	7.48	1.01	1.02	0.05	0.663	0.833	CLDN4 High
APOL6	22q12.3	10.4	10.34	1.27	1.28	0.06	0.663	0.833	CLDN4 High
RPF2	6q21	8.41	8.38	0.61	0.61	0.03	0.664	0.833	CLDN4 High
LINC02035	3q21.1	7.59	7.63	0.73	0.71	-0.04	0.664	0.833	CLDN4 Low
HLA-J	6p22.1	2.49	2.42	1.3	1.19	0.06	0.664	0.833	CLDN4 High
TPO	2p25.3	1.46	1.52	1.03	1.19	-0.06	0.664	0.833	CLDN4 Low
EMC10	19q13.33	11.88	11.84	0.7	0.67	0.03	0.664	0.833	CLDN4 High
CORO7	16p13.3	9.16	9.19	0.63	0.63	-0.03	0.664	0.833	CLDN4 Low
TSPEAR-AS2	21q22.3	2.06	1.96	1.95	1.99	0.1	0.664	0.833	CLDN4 High
DDX60L	4q32.3	8.18	8.23	1.08	0.97	-0.05	0.664	0.833	CLDN4 Low
EVPLL	17p11.2	3.89	3.8	1.89	1.79	0.09	0.664	0.833	CLDN4 High
C11ORF53	11q23.1	1.07	1.14	1.3	1.45	-0.07	0.664	0.834	CLDN4 Low
OR1Q1	9q33.2	1.14	1.2	1.13	1.1	-0.06	0.665	0.834	CLDN4 Low
OSBPL2	20q13.33	10.26	10.28	0.46	0.44	-0.02	0.665	0.834	CLDN4 Low
DLX5	7q21.3	4.71	4.81	1.91	2.13	-0.1	0.665	0.834	CLDN4 Low
RPL26L1	5q35.1	7.53	7.49	0.77	0.64	0.04	0.665	0.834	CLDN4 High
TYSND1	10q22.1	9.3	9.27	0.61	0.67	0.03	0.665	0.834	CLDN4 High
SRP19	5q22.2	8.97	8.94	0.49	0.47	0.02	0.665	0.834	CLDN4 High
CATSPERB	14q32.12	3.05	2.97	1.67	1.67	0.08	0.665	0.834	CLDN4 High
IGF2BP2-AS1	3q27.2	2.62	2.56	1.32	1.34	0.07	0.665	0.834	CLDN4 High
TJAP1	6p21.1	9.96	9.99	0.52	0.54	-0.03	0.665	0.834	CLDN4 Low
NR4A3	9q22	5.89	5.8	1.7	1.66	0.08	0.665	0.834	CLDN4 High
MRAP2	6q14.2	5.31	5.4	1.76	1.87	-0.09	0.665	0.834	CLDN4 Low
CFAP221	2q14.2	4.28	4.18	1.96	1.84	0.09	0.665	0.834	CLDN4 High
CTBP1	4p16.3	11.78	11.75	0.54	0.55	0.03	0.665	0.834	CLDN4 High
CABYR	18q11.2	6.74	6.68	1.08	1.18	0.06	0.665	0.834	CLDN4 High
TEX43	5q23.2	0.04	0.05	0.17	0.23	-0.01	0.665	0.834	CLDN4 Low
TMED7-TICAM2	5q22.3	4.46	4.59	2.49	2.57	-0.13	0.666	0.834	CLDN4 Low
PLEKHB2	2q21.1	11.31	11.28	0.48	0.52	0.02	0.666	0.834	CLDN4 High
MFSD4A	1q32.1	6.15	6.1	1.15	1.07	0.05	0.666	0.834	CLDN4 High
SLC38A9	5q11.2	7.74	7.77	0.63	0.65	-0.03	0.666	0.834	CLDN4 Low
UBLCP1	5q33.3	9.06	9.09	0.51	0.48	-0.02	0.666	0.834	CLDN4 Low
DCBLD2	3q12.1	10.77	10.8	0.62	0.61	-0.03	0.666	0.834	CLDN4 Low
GGT5	22q11.23	7.83	7.77	1.05	1.14	0.05	0.666	0.834	CLDN4 High
FAR2	12p11.22	6.05	5.98	1.46	1.37	0.07	0.666	0.835	CLDN4 High
CANT1	17q25.3	11.02	11.05	0.5	0.51	-0.02	0.666	0.835	CLDN4 Low
PMM2	16p13.2	9.63	9.6	0.51	0.57	0.03	0.666	0.835	CLDN4 High
ACTN4	19q13.2	14.3	14.26	0.81	0.72	0.04	0.666	0.835	CLDN4 High
PSORS1C2	6p21.33	3.49	3.42	1.29	1.48	0.07	0.666	0.835	CLDN4 High
NHSL1	6q24.1	8.14	8.19	1.06	0.91	-0.05	0.667	0.835	CLDN4 Low
DCN	12q21.33	11.99	11.9	1.6	1.84	0.08	0.667	0.835	CLDN4 High
SLC1A6	19p13.12	1.06	0.98	1.85	1.33	0.08	0.667	0.835	CLDN4 High
NFE2	12q13.13	6.12	6.2	1.76	1.52	-0.08	0.667	0.835	CLDN4 Low
CCDC68	18q21.2	4.89	4.82	1.23	1.27	0.06	0.667	0.835	CLDN4 High
TAPT1	4p15.32	8.59	8.62	0.57	0.61	-0.03	0.667	0.835	CLDN4 Low
KRT6B	12q13.13	3.19	3.09	1.95	2.15	0.1	0.667	0.835	CLDN4 High
IFIT1B	10q23.31	0.46	0.49	0.55	0.52	-0.03	0.667	0.835	CLDN4 Low
GATA3	10p14	5.65	5.56	1.59	1.85	0.08	0.668	0.836	CLDN4 High
UBL4A	Xq28	10.33	10.3	0.61	0.63	0.03	0.668	0.836	CLDN4 High
SORL1	11q24.1	11.82	11.88	1.12	1.12	-0.05	0.668	0.836	CLDN4 Low
LYRM4	6p25.1	9.37	9.34	0.83	0.74	0.04	0.668	0.836	CLDN4 High
SSB	2q31.1	10.94	10.96	0.49	0.48	-0.02	0.668	0.836	CLDN4 Low
TMEM151A	11q13.2	3.31	3.4	1.85	1.96	-0.09	0.668	0.836	CLDN4 Low
NCAN	19p12	1.28	1.22	1.58	0.95	0.06	0.668	0.836	CLDN4 High
UTP14C	13q14.3	9.76	9.73	0.54	0.49	0.03	0.668	0.836	CLDN4 High
MYOD1	11p15.1	2.32	2.43	2.48	2.29	-0.12	0.668	0.836	CLDN4 Low
STX7	6q23.2	9.86	9.84	0.55	0.46	0.02	0.668	0.836	CLDN4 High
ELOA2	18q21.1	1.1	1.15	0.92	0.96	-0.05	0.669	0.837	CLDN4 Low
IRX6	16q12.2	3.2	3.3	2.1	2.21	-0.11	0.669	0.837	CLDN4 Low
ANKRD18DP	3q29	0.22	0.24	0.42	0.41	-0.02	0.669	0.837	CLDN4 Low
SYT7	11q12.2	7.75	7.67	1.59	1.62	0.08	0.669	0.837	CLDN4 High
RAB32	6q24.3	8.93	8.89	0.87	0.67	0.04	0.669	0.837	CLDN4 High
EIF4EBP1	8p11.23	10.18	10.14	0.86	0.89	0.04	0.669	0.837	CLDN4 High
GCKR	2p23.3	1.1	1.15	0.99	1.04	-0.05	0.669	0.837	CLDN4 Low
TRIM16L	17p11.2	6.17	6.21	0.77	0.75	-0.04	0.669	0.837	CLDN4 Low
ZSCAN5B	19q13.43	0.75	0.79	0.83	0.62	-0.04	0.669	0.837	CLDN4 Low
FTSJ3	17q23.3	9.89	9.91	0.51	0.55	-0.03	0.67	0.837	CLDN4 Low
LGALSL	2p14	8.42	8.46	0.68	0.67	-0.03	0.67	0.837	CLDN4 Low
SERPINA13P	14q32.13	0.07	0.09	0.25	0.23	-0.01	0.67	0.837	CLDN4 Low
MASTL	10p12.1	8.76	8.79	0.66	0.66	-0.03	0.67	0.837	CLDN4 Low
THOP1	19p13.3	9.19	9.22	0.7	0.52	-0.03	0.67	0.837	CLDN4 Low
JAM2	21q21.3	5.99	5.93	1.33	1.22	0.06	0.67	0.837	CLDN4 High
SPDYA	2p23.2	4.17	4.21	0.77	0.74	-0.04	0.67	0.837	CLDN4 Low
FAM50B	6p25.2	7.93	7.86	1.47	1.39	0.07	0.67	0.837	CLDN4 High
TCHH	1q21.3	3.34	3.27	1.37	1.53	0.07	0.67	0.837	CLDN4 High
POLDIP2	17q11.2	10.92	10.9	0.55	0.46	0.02	0.67	0.837	CLDN4 High
RFPL3	22q12.3	0.68	0.73	0.91	0.88	-0.04	0.67	0.837	CLDN4 Low
PLK5	19p13.3	0.33	0.36	0.57	0.54	-0.03	0.67	0.837	CLDN4 Low
TRAPPC10	21q22.3	10.13	10.16	0.62	0.58	-0.03	0.67	0.837	CLDN4 Low
OR4A47	11p11.2	0.03	0.05	0.38	0.43	-0.02	0.67	0.837	CLDN4 Low
LIMS3	2q13	7.35	7.43	1.64	1.55	-0.08	0.67	0.837	CLDN4 Low
SULT2B1	19q13.33	5.75	5.65	1.91	1.95	0.09	0.67	0.837	CLDN4 High
PF4V1	4q13.3	0.87	0.82	1.15	1.17	0.06	0.67	0.837	CLDN4 High
LAMA5	20q13.33	13.36	13.4	0.9	0.91	-0.04	0.67	0.837	CLDN4 Low
NTNG1	1p13.3	4.48	4.37	2.38	2.33	0.11	0.67	0.837	CLDN4 High
TPRKB	2p13.1	8.85	8.82	0.6	0.62	0.03	0.67	0.837	CLDN4 High
BRCA1	17q21.31	7.38	7.45	1.41	1.5	-0.07	0.671	0.837	CLDN4 Low
F2RL2	5q13.3	3.54	3.63	1.85	1.69	-0.09	0.671	0.838	CLDN4 Low
BORCS5	12p13.2	7.41	7.38	0.7	0.68	0.03	0.671	0.838	CLDN4 High
PEAK3	19p13.3	3.41	3.46	1.05	1.04	-0.05	0.671	0.838	CLDN4 Low
MCCC1	3q27.1	9.77	9.8	0.54	0.61	-0.03	0.671	0.838	CLDN4 Low
ZNF878	19p13.2	2.7	2.76	1.26	1.13	-0.06	0.671	0.838	CLDN4 Low
NGEF	2q37.1	7.96	7.88	1.55	1.68	0.08	0.671	0.838	CLDN4 High
TMEM126A	11q14.1	8.1	8.06	0.75	0.69	0.04	0.672	0.838	CLDN4 High
C11ORF24	11q13.2	10.12	10.14	0.48	0.46	-0.02	0.672	0.838	CLDN4 Low
PXK	3p14.3	8.04	8.07	0.64	0.7	-0.03	0.672	0.838	CLDN4 Low
ZYG11A	1p32.3	4.51	4.6	1.87	1.81	-0.09	0.672	0.838	CLDN4 Low
GABRG3	15q12	3.17	3.06	2.29	2.46	0.11	0.672	0.838	CLDN4 High
NR1H3	11p11.2	8.8	8.84	0.67	0.67	-0.03	0.672	0.838	CLDN4 Low
HEPACAM2	7q21.2	0.53	0.58	1.02	1.17	-0.05	0.672	0.839	CLDN4 Low
BCL9L	11q23.3	12.04	12.07	0.67	0.67	-0.03	0.672	0.839	CLDN4 Low
CACNA1F	Xp11.23	4.57	4.49	1.63	1.82	0.08	0.672	0.839	CLDN4 High
NKAIN4	20q13.33	3.84	3.7	2.8	2.71	0.13	0.672	0.839	CLDN4 High
PDZK1P1	1q21.2	3.12	3.17	1.06	1.02	-0.05	0.672	0.839	CLDN4 Low
DERL1	8q24.13	11.43	11.46	0.63	0.59	-0.03	0.672	0.839	CLDN4 Low
PTBP1	19p13.3	12.78	12.8	0.4	0.32	-0.02	0.672	0.839	CLDN4 Low
CBR4	4q32.3	8.12	8.16	0.69	0.73	-0.03	0.673	0.839	CLDN4 Low
C3ORF33	3q25.31	6.83	6.79	0.73	0.68	0.03	0.673	0.839	CLDN4 High
ANLN	7p14.2	9.4	9.45	0.97	0.78	-0.04	0.673	0.839	CLDN4 Low
SLC30A1	1q32.3	8.69	8.72	0.61	0.63	-0.03	0.673	0.839	CLDN4 Low
PPIL4	6q25.1	9.2	9.22	0.49	0.49	-0.02	0.673	0.839	CLDN4 Low
MIER1	1p31.3	10.31	10.28	0.45	0.54	0.02	0.673	0.839	CLDN4 High
CLIP1	12q24.31	9.86	9.89	0.56	0.57	-0.03	0.673	0.839	CLDN4 Low
MLLT11	1q21.3	7.47	7.52	1.19	1.21	-0.06	0.673	0.839	CLDN4 Low
ADPRS	1p34.3	9.96	9.93	0.71	0.55	0.03	0.673	0.839	CLDN4 High
FLACC1	2q33.1	1.92	1.85	1.54	1.39	0.07	0.674	0.84	CLDN4 High
APOC3	11q23.3	0.21	0.18	0.6	0.68	0.03	0.674	0.84	CLDN4 High
NFKB2	10q24.32	10.45	10.42	0.65	0.71	0.03	0.674	0.84	CLDN4 High
PLA2G4A	1q31.1	7.24	7.31	1.37	1.61	-0.07	0.674	0.84	CLDN4 Low
NIPAL3	1p36.11	9.74	9.77	0.66	0.64	-0.03	0.674	0.84	CLDN4 Low
FAM86DP	3p12.3	8.07	8.02	0.79	1.03	0.04	0.674	0.84	CLDN4 High
HTR1A	5q12.3	0.14	0.12	0.4	0.35	0.02	0.674	0.84	CLDN4 High
PTER	10p13	8.26	8.29	0.62	0.68	-0.03	0.674	0.84	CLDN4 Low
CYP3A4	7q22.1	0.76	0.81	0.92	0.97	-0.05	0.674	0.84	CLDN4 Low
C4ORF3	4q26	10.85	10.81	0.75	0.71	0.04	0.674	0.84	CLDN4 High
SVBP	1p34.2	8.61	8.58	0.72	0.73	0.03	0.674	0.84	CLDN4 High
BZW1	2q33.1	11.53	11.56	0.48	0.44	-0.02	0.674	0.84	CLDN4 Low
LINC00887	3q29	2.36	2.42	1.32	1.24	-0.06	0.674	0.84	CLDN4 Low
ZFP2	5q35.3	5.08	5.03	1.02	1.01	0.05	0.674	0.84	CLDN4 High
LINC01278	Xq11.1	9.75	9.78	0.64	0.56	-0.03	0.674	0.84	CLDN4 Low
OR4D2	17q22	0	0.01	0.05	0.08	0	0.674	0.84	CLDN4 Low
RXRB	6p21.32	10.27	10.29	0.48	0.47	-0.02	0.675	0.84	CLDN4 Low
DNAH6	2p11.2	5.1	5.01	1.66	1.85	0.08	0.675	0.84	CLDN4 High
MAN2B2	4p16.1	10.23	10.26	0.6	0.66	-0.03	0.675	0.84	CLDN4 Low
CYP2J2	1p32.1	6.42	6.36	1.43	1.3	0.07	0.675	0.84	CLDN4 High
PTPN14	1q32.3-q41	8.69	8.72	0.79	0.76	-0.04	0.675	0.84	CLDN4 Low
KLHL41	2q31.1	3.66	3.71	1.11	0.97	-0.05	0.675	0.84	CLDN4 Low
KIAA1107	1p22.1	6.61	6.57	0.65	0.78	0.03	0.675	0.84	CLDN4 High
NAALADL1	11q13.1	6.45	6.5	1.18	1.09	-0.05	0.675	0.84	CLDN4 Low
UGT2B15	4q13.2	0.87	0.95	1.59	1.76	-0.08	0.675	0.84	CLDN4 Low
FBN2	5q23.3	7.02	7.13	2.27	2.38	-0.11	0.675	0.84	CLDN4 Low
MAEA	4p16.3	10.68	10.65	0.53	0.55	0.03	0.675	0.841	CLDN4 High
ENDOD1	11q21	10.01	10.05	0.91	0.9	-0.04	0.675	0.841	CLDN4 Low
WNT5A	3p14.3	8.62	8.56	1.27	1.31	0.06	0.675	0.841	CLDN4 High
HDDC2	6q22.31	9.48	9.45	0.64	0.65	0.03	0.676	0.841	CLDN4 High
ZSCAN16	6p22.1	7.51	7.54	0.63	0.72	-0.03	0.676	0.841	CLDN4 Low
SNORD115-13	15q11.2	0.01	0.01	0.09	0.07	0	0.676	0.841	CLDN4 High
NSMF	9q34.3	10.75	10.71	0.8	0.76	0.04	0.676	0.841	CLDN4 High
OR13D1	9q31.1	0.11	0.09	0.27	0.23	0.01	0.676	0.841	CLDN4 High
PRELID2	5q32	6.09	6.13	0.71	0.8	-0.04	0.676	0.841	CLDN4 Low
MT1A	16q13	3.59	3.49	2.1	2.05	0.1	0.676	0.841	CLDN4 High
